name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
Asha Sweets Centre,Yes,No,3.6/5,27,Basavanagudi,Dessert Parlor,,Fast Food,250,Desserts
My Tea House,Yes,Yes,NEW,0,Banashankari,Casual Dining,,"Continental, Asian, North Indian, Tea",500,Dine-out
The Krishna Grand,Yes,No,3.9/5,888,Banashankari,Casual Dining,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat","North Indian, South Indian, Chinese, Fast Food, Juices",750,Dine-out
Sea Spice by 7 Star,Yes,Yes,4.0/5,349,Banashankari,Casual Dining,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","1,200",Dine-out
Mini Punjabi Dhaba,Yes,No,4.2/5,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Dine-out
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Dine-out
Wamama,Yes,Yes,4.2/5,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Dine-out
Jalsa,Yes,Yes,4.1/5,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800,Dine-out
Vinny's,Yes,Yes,4.2/5,2115,Banashankari,Casual Dining,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad","Pizza, Italian, Continental, Desserts",800,Dine-out
Jcubez,No,Yes,3.8/5,977,Banashankari,Lounge,"Beer, Chicken Wings, Chilli Chicken, Onion Rings, Fries",Finger Food,"1,300",Dine-out
Gustoes Beer House,No,No,4.1/5,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",Dine-out
Penthouse Cafe,Yes,No,4.0/5,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Dine-out
Spice Elephant,Yes,No,4.1/5,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Dine-out
Smacznego,Yes,No,4.2/5,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Dine-out
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1/5,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Dine-out
Cafe Shuffle,Yes,Yes,4.2/5,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Dine-out
The Coffee Shack,Yes,Yes,4.2/5,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Dine-out
Peppy Peppers,No,No,4.2/5,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,Dine-out
Anna Kuteera,Yes,No,4.0/5,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Dine-out
Szechuan Dragon,Yes,No,4.2/5,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Dine-out
1947,No,Yes,4.0/5,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Dine-out
Caf-Eleven,No,No,4.0/5,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,Dine-out
Thamboola,Yes,No,3.9/5,135,Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800,Dine-out
Ferment,No,No,NEW,0,Banashankari,"Casual Dining, Bar",,Continental,"1,000",Dine-out
Havyaka Mess,No,No,3.9/5,28,Banashankari,Mess,,South Indian,300,Dine-out
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Dine-out
Cafe Vivacity,Yes,No,3.8/5,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Dine-out
Chung Wah,Yes,No,3.9/5,519,Banashankari,Casual Dining,"Tom Yum Soup, Wine, Spring Roll, Singapore Noodles, Manchow Soup, Golden Fried Prawns, Lamb","Chinese, Momos, Thai, Vietnamese",900,Dine-out
Vietnamese Kitchen,Yes,No,3.6/5,105,Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700,Dine-out
Blue Wings Bar & Restaurant,No,No,3.7/5,43,Banashankari,"Bar, Casual Dining",,"North Indian, Chinese",700,Dine-out
Anand Sweets and Savouries,No,No,3.7/5,46,Banashankari,"Sweet Shop, Quick Bites",,"Mithai, Street Food",400,Dine-out
Catch-up-ino,Yes,No,3.9/5,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Dine-out
Kirthi's Biryani,Yes,No,3.8/5,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Dine-out
T3H Cafe,No,No,3.9/5,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Dine-out
Srikrishna Bhavan,Yes,No,3.8/5,42,Banashankari,Quick Bites,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300,Dine-out
Dal Tadkaa,Yes,No,2.5/5,247,Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500,Dine-out
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400,Dine-out
New Imperial Restaurant,No,No,3.7/5,39,Banashankari,Casual Dining,,"North Indian, Chinese",450,Dine-out
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Dine-out
Green Gardenia,Yes,No,3.8/5,160,Banashankari,Casual Dining,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti","North Indian, Chinese",700,Dine-out
Parimala Sweets,No,No,3.5/5,14,Banashankari,Sweet Shop,,"Mithai, Street Food",200,Dine-out
Vaishali Deluxe,No,No,3.8/5,42,Banashankari,Casual Dining,,"North Indian, Chinese",700,Dine-out
Paradise Premium,Yes,No,3.1/5,119,Banashankari,Casual Dining,,"Biryani, Andhra, Hyderabadi, North Indian",700,Dine-out
Kadala Tarangaa,Yes,No,3.6/5,129,Banashankari,Casual Dining,"Sea Food, Neer Dosa","Mangalorean, Seafood, North Indian",600,Dine-out
My Tea House,Yes,Yes,NEW,0,Banashankari,Casual Dining,,"Continental, Asian, North Indian, Tea",500,Dine-out
Vi Ra's Bar and Restaurant,No,No,3.3/5,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Dine-out
Annapooraneshwari Mess,No,No,,0,Banashankari,Mess,,South Indian,200,Dine-out
Sri Yaksha Shiv Sagar,Yes,No,3.6/5,24,Banashankari,Casual Dining,,"North Indian, Chinese",600,Dine-out
7 Hills Restaurant,No,No,,0,Banashankari,Casual Dining,,"North Indian, South Indian",500,Dine-out
Nandhini Deluxe,No,No,2.6/5,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Dine-out
Corner Stone,No,No,3.6/5,42,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Juices, Desserts, Italian",300,Dine-out
Karavali Fish Center,No,No,3.4/5,10,Banashankari,Quick Bites,,"Mangalorean, Chinese",300,Dine-out
Ayda Persian Kitchen,No,No,3.7/5,39,Banashankari,Casual Dining,,"North Indian, Iranian",950,Dine-out
J Spice,Yes,No,3.8/5,59,Banashankari,Casual Dining,"Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese",750,Dine-out
Swadesh Tadka,Yes,No,3.5/5,179,Banashankari,Casual Dining,"Gulab Jamun, Roti, Masala Papad, Babycorn Manchurian, Paratha, Clear Soup, Biryani","North Indian, Chinese, Beverages",600,Dine-out
Iyer's Tiffin Centre,No,No,3.8/5,62,Banashankari,Quick Bites,"Kesari Bath, Masala Dosa","South Indian, Chinese",150,Dine-out
Kydz Adda,No,No,3.4/5,6,Banashankari,Casual Dining,,Continental,500,Dine-out
K27 - The Pub,No,No,3.1/5,30,Banashankari,Bar,,"Chinese, North Indian","1,000",Dine-out
Kotian Karavali Restaurant,No,No,3.5/5,10,Banashankari,Quick Bites,,"South Indian, Biryani",300,Dine-out
Food Box Cafe,No,No,3.6/5,36,Banashankari,Casual Dining,,"Mughlai, North Indian, Chinese",500,Dine-out
Hide Out Cafe,No,No,3.7/5,31,Banashankari,Cafe,,Cafe,300,Dine-out
Linnet Bar & Restaurant,No,No,,0,Banashankari,Bar,,"Fast Food, Finger Food",500,Dine-out
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,,"Cafe, Bakery",600,Dine-out
Darbar,No,No,3.0/5,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Dine-out
Sri Ganesh Juice and Chats,No,No,3.5/5,18,Banashankari,"Beverage Shop, Quick Bites",,"Juices, Street Food",150,Dine-out
Manifest Cafe,No,No,3.5/5,10,Banashankari,Casual Dining,,"South Indian, North Indian, Chinese",500,Dine-out
Beijing Bites,No,No,2.7/5,128,Banashankari,Casual Dining,"Cantonese Noodles, Basil Chicken, Hunan Chicken Gravy, Manchow Soup, Dragon Chicken, Chicken Grill","Chinese, Thai",850,Dine-out
Karavali Lunch Home,No,No,,0,Banashankari,Quick Bites,,"South Indian, North Indian, Seafood, Mangalorean",400,Dine-out
The Pizzeria,Yes,No,2.8/5,45,Banashankari,Casual Dining,Pesto Pizza,"Pizza, Italian, Salad",800,Dine-out
Sri Krishna Sagar,Yes,No,3.2/5,119,Banashankari,Casual Dining,,"North Indian, Chinese",400,Dine-out
Lassi Stop,Yes,No,3.4/5,12,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Fast Food, Juices",150,Dine-out
Banashankari Nati Style,No,No,,0,Banashankari,Quick Bites,,"Biryani, Chinese, South Indian, North Indian",350,Dine-out
Sea Green Cafe,No,No,3.3/5,4,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",500,Dine-out
Cafe Coffee Day,No,No,,0,Banashankari,Cafe,,"Cafe, Fast Food",900,Dine-out
SLN Bar and Restaurant,No,No,,0,Banashankari,Casual Dining,,"North Indian, Chinese",700,Dine-out
Kaumudis Juoice,No,No,,0,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Fast Food, Juices",150,Dine-out
Parijatha Paradise,Yes,No,NEW,0,Banashankari,Casual Dining,,"South Indian, North Indian, Fast Food, Chinese, Street Food",500,Dine-out
As On Fire,Yes,No,3.5/5,41,South Bangalore,Food Truck,Pizza,"Pizza, Fast Food, BBQ",400,Dine-out
Pizza Hut,Yes,No,3.7/5,405,Banashankari,Casual Dining,"Pizza, Potato Wedges, Country Feast, Pasta, Garlic Bread, Lemonade","Pizza, Fast Food",750,Dine-out
New Prashanth Hotel,Yes,No,3.9/5,388,Banashankari,Casual Dining,"Chicken Biryani, Ragi Mudde, Mutton Chops","Biryani, North Indian, Seafood, Andhra",650,Dine-out
Taaza Thindi,No,No,4.7/5,651,Banashankari,Quick Bites,"Masala Dosa, Vada, Upma, Filter Coffee, Kesari Bath, Idli Chutney, Kharabath",South Indian,100,Dine-out
Hyderabad Express,Yes,No,NEW,0,Banashankari,Quick Bites,,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",300,Dine-out
Ayodhya Upachar,Yes,No,4.3/5,734,Banashankari,Quick Bites,"Panneer Butter Masala, Vada, Curd Rice, Idli, Jeera Rice, Naan, Kulcha","South Indian, North Indian, Chinese, Street Food",200,Dine-out
Petoo,No,No,3.7/5,21,Banashankari,Quick Bites,,North Indian,450,Dine-out
Roving Feast,No,No,4.0/5,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Dine-out
KFC,Yes,No,3.8/5,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Dine-out
Five Star Chicken,No,No,3.6/5,55,Banashankari,Quick Bites,,"Fast Food, Burger",200,Dine-out
Gama Gama,Yes,No,3.9/5,264,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Dine-out
Hotel New Karavali,Yes,No,3.8/5,133,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",300,Dine-out
Kaapi Corner,No,No,NEW,0,Banashankari,Quick Bites,,South Indian,100,Dine-out
McDonald's,Yes,No,3.9/5,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Dine-out
Sri Laxmi Venkateshwara Coffee Bar,No,No,4.4/5,343,Banashankari,Quick Bites,"Masala Dosa, Idli Chutney, Kharabath, Filter Coffee, Kesari Bath, Idli Vada, Maddur Vada",South Indian,100,Dine-out
Bhattara Bhojana,Yes,No,3.6/5,66,Banashankari,Quick Bites,,South Indian,150,Dine-out
Davanagere Benne Dose Hut,Yes,No,3.4/5,10,Banashankari,Quick Bites,,South Indian,100,Dine-out
Utsav Restaurant,Yes,No,3.8/5,61,Banashankari,Quick Bites,,"North Indian, Chinese",300,Dine-out
Messy Bowl,No,No,3.8/5,70,Banashankari,Quick Bites,"Tandoori Maggi, Paneer Sizzler, Pasta, Pizza, Butter Garlic Fries, Peri Peri Maggi, Garlic Maggi","Fast Food, Beverages",500,Dine-out
Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,Banashankari,Quick Bites,,"Biryani, South Indian",300,Dine-out
Janahaar,Yes,No,3.8/5,70,Banashankari,Quick Bites,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",South Indian,100,Dine-out
Stop 'N' Joy,Yes,No,3.8/5,28,Banashankari,Quick Bites,,Fast Food,150,Dine-out
Dodda Mane Baaduta,Yes,No,3.5/5,15,Banashankari,Quick Bites,,"North Indian, South Indian, Chinese, Biryani",250,Dine-out
Chickpet Donne Biryani House,Yes,No,3.8/5,131,Banashankari,Quick Bites,,Biryani,250,Dine-out
Brahmin Cafe,No,No,3.8/5,19,Banashankari,Quick Bites,,South Indian,150,Dine-out
Chumma Delicious,Yes,No,3.7/5,237,Banashankari,Quick Bites,Chicken Biryani,"South Indian, Fast Food",200,Dine-out
Udupi Upachar,Yes,No,3.3/5,6,Banashankari,Quick Bites,,"South Indian, North Indian",500,Dine-out
Bengaluru Coffee House,Yes,No,4.1/5,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Dine-out
Foodiction,Yes,No,2.8/5,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,Dine-out
The Biryani Cafe,No,No,4.1/5,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Dine-out
Spicy Tandoor,No,No,NEW,0,Banashankari,Quick Bites,,North Indian,150,Dine-out
Banashankari Donne Biriyani,Yes,No,3.8/5,104,Banashankari,Quick Bites,,"Biryani, Fast Food",300,Dine-out
Addhuri Udupi Bhojana,No,No,3.7/5,88,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300,Dine-out
Vasanth Vihar - Since 1965,Yes,No,3.6/5,95,Banashankari,Quick Bites,,"South Indian, Street Food",150,Dine-out
Subway,Yes,No,3.7/5,136,Banashankari,Quick Bites,"Veggie Delight, Paneer Tikka, Salad","Salad, Fast Food",600,Dine-out
SGS Non Veg - Gundu Pulav,Yes,No,3.8/5,101,Banashankari,Quick Bites,,"Biryani, Fast Food",400,Dine-out
Udupi Ruchi Grand,Yes,No,4.2/5,60,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",200,Dine-out
Hotel Mangala,No,No,3.9/5,88,Banashankari,Quick Bites,"Khali Dosa, Kali Dosa, Masala Dosa, Vada Sambar",South Indian,250,Dine-out
Simple Thindies,No,No,3.5/5,8,Banashankari,Quick Bites,,South Indian,200,Dine-out
Rolls On Wheels,No,No,3.4/5,145,Banashankari,Quick Bites,,"Fast Food, Rolls, Momos",300,Dine-out
Chilli Flakes,Yes,No,3.6/5,46,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",500,Dine-out
Kababs N Biryani,Yes,No,3.4/5,22,Banashankari,Quick Bites,,South Indian,200,Dine-out
Udupi Ruchi,Yes,No,3.9/5,57,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",200,Dine-out
SLV Swadishta,No,No,3.8/5,189,Banashankari,Quick Bites,"Coffee, Jeera Rice, Masala Dosa, Neer Dosa",South Indian,300,Dine-out
Kolbeh,No,No,3.7/5,22,Banashankari,Quick Bites,,Fast Food,500,Dine-out
Kolkata Kathi Roll's,Yes,No,3.6/5,18,Banashankari,Quick Bites,,"Fast Food, Rolls",250,Dine-out
Mylari Biryani Family Restaurant,Yes,No,3.7/5,73,Banashankari,Quick Bites,,"Biryani, Fast Food",400,Dine-out
Upahar Sagar,No,No,3.8/5,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Dine-out
Domino's Pizza,Yes,No,3.9/5,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Dine-out
New Sagar Fast Food,No,No,3.6/5,71,Banashankari,Quick Bites,"Vegetable Biryani, Masala Dosa, Kulcha, Masala Papad, Tomato Soup","North Indian, South Indian",250,Dine-out
Namma Biryani,Yes,No,3.6/5,24,Banashankari,Quick Bites,,"Biryani, Chinese, North Indian",250,Dine-out
Chill Out,No,No,,0,Banashankari,Quick Bites,,"South Indian, Chinese",100,Dine-out
Parama Ruchi,No,No,3.5/5,11,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",300,Dine-out
Thrilok Restaurant,No,No,3.4/5,9,Banashankari,Quick Bites,,"Mangalorean, Seafood",350,Dine-out
Meat And Eat,No,No,3.5/5,12,Banashankari,Quick Bites,,"Fast Food, Burger",500,Dine-out
Ande Ka Funda,Yes,No,3.8/5,120,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",250,Dine-out
Dakshin Grand,Yes,No,3.0/5,82,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",300,Dine-out
Chicken Hunt,Yes,No,3.5/5,88,Banashankari,Quick Bites,Chicken Grill,"South Indian, North Indian, Chinese, Biryani",350,Dine-out
7 Hills Garden Restaurant,Yes,No,,0,Banashankari,Quick Bites,,"North Indian, Mughlai, Chinese",400,Dine-out
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,Banashankari,Quick Bites,,South Indian,150,Dine-out
Shri Guru Raghavendra Grand Veg,No,No,NEW,0,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese",400,Dine-out
Pizza Stop,Yes,No,3.0/5,87,Banashankari,Quick Bites,"Garlic Bread, Pasta, Nachos, Salsa, Thin Crust Pizza","Pizza, Italian",600,Dine-out
Madhappa Hindu Military Hotel,Yes,No,3.4/5,14,Banashankari,Quick Bites,,South Indian,300,Dine-out
Krishna Sagar,No,No,3.5/5,31,Banashankari,Quick Bites,,North Indian,200,Dine-out
Hanumanthanagar Biryani Junction,No,No,3.5/5,17,Banashankari,Quick Bites,,South Indian,300,Dine-out
Faasos,Yes,No,4.2/5,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,Dine-out
Rasoi,Yes,No,3.3/5,128,Banashankari,Quick Bites,"Lassi, Panneer Butter Masala, Paratha, Thali","North Indian, Chinese",300,Dine-out
SLV Refreshment,No,No,4.1/5,94,Banashankari,Quick Bites,"Coffee, Masala Dosa, Kharabath, Idli Vada, Kesari Bath",South Indian,100,Dine-out
Kaggis,No,No,3.8/5,64,Banashankari,Quick Bites,,"Fast Food, Bakery",250,Dine-out
Chatar Patar,No,No,3.7/5,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Dine-out
Seven Star,Yes,No,3.4/5,7,Banashankari,Quick Bites,,"North Indian, Chinese",250,Dine-out
SVKP Daily Fresh,No,No,3.3/5,5,Banashankari,Quick Bites,,South Indian,350,Dine-out
Kidambi's Kitchen,No,No,3.5/5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Dine-out
Ruchi's Corner,Yes,No,2.7/5,123,Banashankari,Quick Bites,,Fast Food,200,Dine-out
Tandoori Knight,Yes,No,3.0/5,290,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Dine-out
Utsav,Yes,No,3.7/5,59,Banashankari,Quick Bites,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav","North Indian, Street Food",200,Dine-out
Mane Thindi,No,No,3.7/5,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Dine-out
Fast And Fresh,Yes,No,2.8/5,91,Banashankari,Quick Bites,,"North Indian, Chinese, Fast Food",400,Dine-out
New Gowda's Fried Chicken,Yes,No,3.3/5,12,Banashankari,Quick Bites,,Biryani,300,Dine-out
Juicy Momos,Yes,No,3.5/5,80,Banashankari,Quick Bites,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos","Tibetan, Momos",250,Dine-out
Donne Biriyani House,Yes,No,3.9/5,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Dine-out
Srinagar Kabab Corner,No,No,3.4/5,10,Banashankari,Quick Bites,,North Indian,250,Dine-out
Sri Venkateshwara Chat Centre,No,No,3.5/5,12,Banashankari,Quick Bites,,Street Food,100,Dine-out
Vinay Bhel Corner,No,No,3.4/5,7,Banashankari,Quick Bites,,Street Food,100,Dine-out
Spice 9,No,No,3.4/5,8,Banashankari,Quick Bites,,"Biryani, North Indian, Chinese, Fast Food",300,Dine-out
Roti Land,No,No,,0,Banashankari,Quick Bites,,North Indian,200,Dine-out
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,Banashankari,Quick Bites,,Biryani,300,Dine-out
Nandi Chats and Juice,No,No,3.6/5,47,Banashankari,Quick Bites,,Street Food,150,Dine-out
Atithi Point Ande Ka Funda,No,No,3.1/5,29,Banashankari,Quick Bites,,North Indian,150,Dine-out
Yaarub Hotel,No,No,,0,Banashankari,Quick Bites,,Biryani,250,Dine-out
Aarush's Food Plaza,No,No,,0,Banashankari,Quick Bites,,"North Indian, Street Food",200,Dine-out
Rotti Mane,No,No,,0,Banashankari,Quick Bites,,South Indian,100,Dine-out
Karnataka Bhel House,No,No,,0,Banashankari,Quick Bites,,Street Food,150,Dine-out
Kannadigas Karavali,No,No,,0,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",250,Dine-out
The Coorg Kitchen,No,No,,0,Banashankari,Quick Bites,,South Indian,400,Dine-out
Just Shawarma,Yes,No,3.8/5,66,Banashankari,Quick Bites,,Arabian,300,Dine-out
Aramane Donne Biryani,Yes,No,3.1/5,28,Banashankari,Quick Bites,,Biryani,200,Dine-out
FOOD ADDA,No,No,3.2/5,4,Banashankari,Quick Bites,,Fast Food,200,Dine-out
New Mangalore Lunch Home,No,No,3.3/5,7,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",200,Dine-out
Hotel Nisarga,No,No,3.2/5,5,Banashankari,Quick Bites,,"North Indian, South Indian",250,Dine-out
Coffee Bytes,No,No,3.1/5,6,Banashankari,Quick Bites,,"Fast Food, South Indian",100,Dine-out
Parjanya Chat Zone,No,No,3.3/5,17,Banashankari,Quick Bites,,"Street Food, Fast Food",200,Dine-out
Yo Roll Corner,No,No,3.0/5,27,Banashankari,Quick Bites,,"Street Food, Rolls",200,Dine-out
New Quality Dum Biryani,No,No,3.1/5,9,Banashankari,Quick Bites,,Biryani,200,Dine-out
Sri Lakshmi Kabab Center,No,No,3.3/5,4,Banashankari,Quick Bites,,Kebab,200,Dine-out
Cueferia A-Cafe,No,No,,0,Banashankari,Quick Bites,,"North Indian, South Indian, Fast Food, Chinese, Italian",400,Dine-out
Sri Basaveshwar Jolada Rotti Oota,No,No,,0,Banashankari,Quick Bites,,South Indian,150,Dine-out
Dtink Lab,No,No,NEW,0,Banashankari,Quick Bites,,"Beverages, Sandwich",80,Dine-out
Shree Udupi South kitchen,No,No,NEW,0,Banashankari,Quick Bites,,South Indian,150,Dine-out
Foodlieious Multi Cuisine,No,No,NEW,0,Banashankari,Quick Bites,,North Indian,100,Dine-out
Tasty Bites,No,No,3.7/5,21,Banashankari,Quick Bites,,"Fast Food, Pizza",150,Dine-out
Raams Chicken,No,No,3.6/5,22,Banashankari,Quick Bites,,Andhra,300,Dine-out
Panchami,No,No,3.0/5,15,Banashankari,Quick Bites,,"North Indian, Chinese",300,Dine-out
Bangalore Kabab Palace,No,No,,0,Banashankari,Quick Bites,,"Andhra, Biryani",150,Dine-out
Hotel Andhra Speices,No,No,,0,Banashankari,Quick Bites,,Andhra,250,Dine-out
Quality Dum Biriyani,No,No,,0,Banashankari,Quick Bites,,"Biryani, Kebab",150,Dine-out
Sri Murari Family Restaurant,No,No,,0,Banashankari,Quick Bites,,Biryani,250,Dine-out
Taja Coffee,No,No,,0,Banashankari,Quick Bites,,South Indian,150,Dine-out
